date,var_time_minutes,prec,transpiration,q_obs
10/1/2001,0,0.00426,0,0.098036779
10/1/2001,0.5,0.00426,0,0.098787543
10/1/2001,1,3.29217,0,0.096754178
10/1/2001,1.5,15.5,0,0.099165078
10/1/2001,2,15.3,0,0.099544056
10/1/2001,2.5,6.9,0,0.097126344
10/1/2001,3,0.6,0,0.097126344
10/1/2001,3.5,0.4,0,0.099544056
10/1/2001,4,1.4,0,0.097499941
10/1/2001,4.5,0.8,0,0.097499941
10/1/2001,5,0.6,0,0.102628486
10/1/2001,5.5,0.27818,0,0.131005238
10/1/2001,6,0.28244,0,0.216748663
10/1/2001,6.5,0,0,0.381179362
10/1/2001,7,0,0,0.537305194
10/1/2001,7.5,0,0,0.670950023
10/1/2001,8,0,0,0.825364522
10/1/2001,8.5,0,0,1.040029916
10/1/2001,9,0,0,1.342142245
10/1/2001,9.5,0,0,1.663662321
10/1/2001,10,0,0,1.885905434
10/1/2001,10.5,0,0,1.990916457
10/1/2001,11,0,0,1.998073769
10/1/2001,11.5,0,0,1.94469515
10/1/2001,12,0,0,1.847705269
10/1/2001,12.5,0,0,1.741465911
10/1/2001,13,0,0,1.621483449
10/1/2001,13.5,0,0,1.507966961
10/1/2001,14,0,0,1.389725359
10/1/2001,14.5,0,0,1.28387662
10/1/2001,15,0,0,1.179529191
10/1/2001,15.5,0,0,1.095395554
10/1/2001,16,0,0,1.011679414
10/1/2001,16.5,0,0,0.936997489
10/1/2001,17,0,0,0.862846682
10/1/2001,17.5,0,0,0.79329701
10/1/2001,18,0,0.14531,0.731467265
10/1/2001,18.5,0,0.166,0.670297347
10/1/2001,19,0,0.166,0.61314273
10/1/2001,19.5,0,0.166,0.570123026
10/1/2001,20,0,0.166,0.532055501
10/1/2001,20.5,0,0.166,0.498439679
10/1/2001,21,0.06394,0,0.46694774
10/1/2001,21.5,0,0,0.437445494
10/1/2001,22,0,0,0.409807231
10/1/2001,22.5,0,0,0.385391916
10/1/2001,23,0,0,0.362431206
10/1/2001,23.5,0,0,0.342149477
10/2/2001,24,0,0,0.321765046
10/2/2001,24.5,0,0,0.304927417
