data,hora,t,prec,q_obs
10/1/2001,2:30,0,0.1,0.098036779
10/1/2001,3:00,0.5,0.1,0.098787543
10/1/2001,3:30,1,7.2,0.096754178
10/1/2001,4:00,1.5,15.5,0.099165078
10/1/2001,4:30,2,15.3,0.099544056
10/1/2001,5:00,2.5,6.9,0.097126344
10/1/2001,5:30,3,0.6,0.097126344
10/1/2001,6:00,3.5,0.4,0.099544056
10/1/2001,6:30,4,1.4,0.097499941
10/1/2001,7:00,4.5,0.8,0.097499941
10/1/2001,7:30,5,0.6,0.102628486
10/1/2001,8:00,5.5,0.1,0.131005238
10/1/2001,8:30,6,0.2,0.216748663
10/1/2001,9:00,6.5,0,0.381179362
10/1/2001,9:30,7,0,0.537305194
10/1/2001,10:00,7.5,0,0.670950023
10/1/2001,10:30,8,0,0.825364522
10/1/2001,11:00,8.5,0,1.040029916
10/1/2001,0.479166667,9,0,1.342142245
10/1/2001,0.5,9.5,0,1.663662321
10/1/2001,0.520833333,10,0,1.885905434
10/1/2001,0.541666667,10.5,0,1.990916457
10/1/2001,0.5625,11,0,1.998073769
10/1/2001,0.583333333,11.5,0,1.94469515
10/1/2001,0.604166667,12,0,1.847705269
10/1/2001,0.625,12.5,0,1.741465911
10/1/2001,0.645833333,13,0,1.621483449
10/1/2001,0.666666667,13.5,0,1.507966961
10/1/2001,0.6875,14,0,1.389725359
10/1/2001,0.708333333,14.5,0,1.28387662
10/1/2001,0.729166667,15,0,1.179529191
10/1/2001,0.75,15.5,0,1.095395554
10/1/2001,0.770833333,16,0,1.011679414
10/1/2001,0.791666667,16.5,0,0.936997489
10/1/2001,0.8125,17,0,0.862846682
10/1/2001,0.833333333,17.5,0,0.79329701
10/1/2001,0.854166667,18,0,0.731467265
10/1/2001,0.875,18.5,0,0.670297347
10/1/2001,0.895833333,19,0,0.61314273
10/1/2001,0.916666667,19.5,0,0.570123026
10/1/2001,0.9375,20,0,0.532055501
10/1/2001,0.958333333,20.5,0,0.498439679
10/1/2001,0.979166667,21,1.5,0.46694774
10/1/2001,0,21.5,0,0.437445494
10/1/2001,0.020833333,22,0,0.409807231
10/1/2001,0.041666667,22.5,0,0.385391916
10/1/2001,0.0625,23,0,0.362431206
10/1/2001,0.083333333,23.5,0,0.342149477
10/2/2001,0.104166667,24,0,0.321765046
10/2/2001,0.125,24.5,0,0.304927417
10/2/2001,0.145833333,25,0,0.290082413
10/2/2001,0.166666667,25.5,0,0.278087168
10/2/2001,0.1875,26,0,0.266587941
10/2/2001,0.208333333,26.5,0.2,0.256547251
10/2/2001,0.229166667,27,0,0.247834375
10/2/2001,0.25,27.5,0,0.239417407
10/2/2001,0.270833333,28,0,0.233069008
10/2/2001,0.291666667,28.5,0,0.227761674
10/2/2001,0.3125,29,0,0.221722339
10/2/2001,0.333333333,29.5,0,0.215843143
10/2/2001,0.354166667,30,0,0.211739405
10/2/2001,0.375,30.5,0,0.206124917
10/2/2001,0.395833333,31,0,0.201431141
10/2/2001,0.416666667,31.5,0,0.198361489
10/2/2001,0.4375,32,0,0.193844498
10/2/2001,0.458333333,32.5,0,0.190159011
10/2/2001,0.479166667,33,0,0.187261137
10/2/2001,0.5,33.5,0,0.184407424
10/2/2001,0.520833333,34,0,0.1815972
10/2/2001,0.541666667,34.5,0,0.178829801
10/2/2001,0.5625,35,0,0.175429783
10/2/2001,0.583333333,35.5,0,0.174087945
10/2/2001,0.604166667,36,0,0.170778082
10/2/2001,0.625,36.5,0,0.169471824
10/2/2001,0.645833333,37,0,0.166889206
10/2/2001,0.666666667,37.5,0,0.164345946
10/2/2001,0.6875,38,0,0.161221303
10/2/2001,0.708333333,38.5,0,0.159375106
10/2/2001,0.729166667,39,0,0.156946355
10/2/2001,0.75,39.5,0,0.153962398
10/2/2001,0.770833333,40,0,0.151616131
10/2/2001,0.791666667,40.5,0,0.148163603
10/2/2001,0.8125,41,0,0.145905706
10/2/2001,0.833333333,41.5,0,0.14313166
10/2/2001,0.854166667,42,0,0.140950446
10/2/2001,0.875,42.5,0,0.138270612
10/2/2001,0.895833333,43,0,0.136163477
10/2/2001,0.916666667,43.5,0,0.134088452
10/2/2001,0.9375,44,0,0.132552962
10/2/2001,0.958333333,44.5,0,0.131035055
10/2/2001,0.979166667,45,0,0.130032787
10/2/2001,0,45.5,0,0.129038184
10/2/2001,0.020833333,46,0,0.128051189
10/2/2001,0.041666667,46.5,0,0.127560526
10/2/2001,0.0625,47,0,0.126584834
10/2/2001,0.083333333,47.5,0,0.126099789
10/3/2001,0.104166667,48,0,0.125616604
10/3/2001,0.125,48.5,0,0.125616604
10/3/2001,0.145833333,49,0,0.125616604
10/3/2001,0.166666667,49.5,0,0.125616604
10/3/2001,0.1875,50,0,0.12513527
10/3/2001,0.208333333,50.5,0,0.124178128
10/3/2001,0.229166667,51,0,0.124178128
10/3/2001,0.25,51.5,0,0.124178128
10/3/2001,0.270833333,52,0,0.124178128
10/3/2001,0.291666667,52.5,0,0.123702305
10/3/2001,0.3125,53,0,0.123702305
10/3/2001,0.333333333,53.5,0,0.123228307
10/3/2001,0.354166667,54,0.2,0.123228307
10/3/2001,0.375,54.5,0.2,0.123228307
10/3/2001,0.395833333,55,0,0.123228307
10/3/2001,0.416666667,55.5,0,0.123228307
10/3/2001,0.4375,56,0,0.123228307
10/3/2001,0.458333333,56.5,0,0.123228307
10/3/2001,0.479166667,57,0,0.123228307
10/3/2001,0.5,57.5,0,0.122756124
10/3/2001,0.520833333,58,0,0.12228575
10/3/2001,0.541666667,58.5,0,0.121817179
10/3/2001,0.5625,59,0,0.121817179
10/3/2001,0.583333333,59.5,0,0.121817179
10/3/2001,0.604166667,60,0,0.121817179
10/3/2001,0.625,60.5,0,0.121817179
10/3/2001,0.645833333,61,0,0.121817179
10/3/2001,0.666666667,61.5,0,0.121817179
10/3/2001,0.6875,62,0,0.121350404
10/3/2001,0.708333333,62.5,0,0.120422212
10/3/2001,0.729166667,63,0,0.120422212
10/3/2001,0.75,63.5,0,0.120422212
10/3/2001,0.770833333,64,0,0.119501119
10/3/2001,0.791666667,64.5,0,0.118587072
10/3/2001,0.8125,65,0,0.117680016
10/3/2001,0.833333333,65.5,0,0.116779898
10/3/2001,0.854166667,66,0,0.116332424
10/3/2001,0.875,66.5,0,0.115442613
10/3/2001,0.895833333,67,0,0.114559609
10/3/2001,0.916666667,67.5,0,0.114120643
10/3/2001,0.9375,68,0,0.113683359
10/3/2001,0.958333333,68.5,0,0.11324775
10/3/2001,0.979166667,69,0,0.112381534
10/3/2001,0,69.5,0,0.112381534
10/3/2001,0.020833333,70,0,0.112381534
10/3/2001,0.041666667,70.5,0,0.112381534
10/3/2001,0.0625,71,0,0.111950914
10/3/2001,0.083333333,71.5,0,0.111950914
10/4/2001,0.104166667,72,0,0.111950914
10/4/2001,0.125,72.5,0,0.114632713
10/4/2001,0.145833333,73,0,0.111950914
10/4/2001,0.166666667,73.5,0,0.111950914
10/4/2001,0.1875,74,0,0.111950914
10/4/2001,0.208333333,74.5,0,0.114632713
10/4/2001,0.229166667,75,0,0.112381534
10/4/2001,0.25,75.5,0,0.112381534
10/4/2001,0.270833333,76,0,0.112381534
10/4/2001,0.291666667,76.5,0,0.112381534
10/4/2001,0.3125,77,0,0.112381534
10/4/2001,0.333333333,77.5,0,0.112381534
10/4/2001,0.354166667,78,0,0.112381534
10/4/2001,0.375,78.5,0,0.112381534
10/4/2001,0.395833333,79,0,0.112381534
10/4/2001,0.416666667,79.5,0,0.112381534
10/4/2001,0.4375,80,0,0.112381534
10/4/2001,0.458333333,80.5,0,0.112381534
10/4/2001,0.479166667,81,0,0.112381534
10/4/2001,0.5,81.5,0,0.112381534
10/4/2001,0.520833333,82,0,0.112381534
10/4/2001,0.541666667,82.5,0,0.112381534
10/4/2001,0.5625,83,0,0.112381534
10/4/2001,0.583333333,83.5,0,0.112381534
10/4/2001,0.604166667,84,0,0.112381534
10/4/2001,0.625,84.5,0,0.112381534
10/4/2001,0.645833333,85,0,0.111950914
10/4/2001,0.666666667,85.5,0,0.111094617
10/4/2001,0.6875,86,0,0.110244869
10/4/2001,0.708333333,86.5,0,0.110244869
10/4/2001,0.729166667,87,0,0.109822436
10/4/2001,0.75,87.5,0,0.108564824
10/4/2001,0.770833333,88,0,0.107734427
10/4/2001,0.791666667,88.5,0,0.106910382
10/4/2001,0.8125,89,0,0.105686116
10/4/2001,0.833333333,89.5,0,0.105281151
10/4/2001,0.854166667,90,0,0.10447587
10/4/2001,0.875,90.5,0,0.103676749
10/4/2001,0.895833333,91,0,0.103279484
10/4/2001,0.916666667,91.5,0,0.102489513
10/4/2001,0.9375,92,0,0.101705585
10/4/2001,0.958333333,92.5,0,0.101705585
10/4/2001,0.979166667,93,0,0.101705585
10/4/2001,0,93.5,0,0.101705585
10/4/2001,0.020833333,94,0,0.101705585
10/4/2001,0.041666667,94.5,0,0.101705585
10/4/2001,0.0625,95,0,0.101705585
10/4/2001,0.083333333,95.5,0,0.101705585
10/5/2001,0.104166667,96,0,0.101705585
10/5/2001,0.125,96.5,0,0.101705585
10/5/2001,0.145833333,97,0,0.101705585
10/5/2001,0.166666667,97.5,0,0.104206358
10/5/2001,0.1875,98,0,0.104604603
10/5/2001,0.208333333,98.5,0,0.102489513
10/5/2001,0.229166667,99,0,0.102489513
10/5/2001,0.25,99.5,0,0.105405662
10/5/2001,0.270833333,100,0,0.103279484
10/5/2001,0.291666667,100.5,0,0.10580849
10/5/2001,0.3125,101,0,0.103676749
10/5/2001,0.333333333,101.5,0,0.103676749
10/5/2001,0.354166667,102,0,0.103676749
10/5/2001,0.375,102.5,0.7,0.103676749
10/5/2001,0.395833333,103,1.1,0.103676749
10/5/2001,0.416666667,103.5,0.6,0.103676749
10/5/2001,0.4375,104,0,0.103676749
10/5/2001,0.458333333,104.5,0,0.106212857
10/5/2001,0.479166667,105,0,0.106618769
10/5/2001,0.5,105.5,0,0.107026232
10/5/2001,0.520833333,106,0,0.104877738
10/5/2001,0.541666667,106.5,0,0.104877738
10/5/2001,0.5625,107,0,0.104877738
10/5/2001,0.583333333,107.5,0,0.107845837
10/5/2001,0.604166667,108,0,0.105686116
10/5/2001,0.625,108.5,0,0.109087027
10/5/2001,0.645833333,109,0,0.109503924
10/5/2001,0.666666667,109.5,3.2,0.109922414
10/5/2001,0.6875,110,7.5,0.110764197
10/5/2001,0.708333333,110.5,0.4,0.111612427
10/5/2001,0.729166667,111,0,0.109401622
10/5/2001,0.75,111.5,0,0.10898242
10/5/2001,0.770833333,112,0,0.10898242
10/5/2001,0.791666667,112.5,0,0.107734427
10/5/2001,0.8125,113,0,0.107321613
10/5/2001,0.833333333,113.5,0,0.106910382
10/5/2001,0.854166667,114,0,0.113328424
10/5/2001,0.875,114.5,0,0.120001716
10/5/2001,0.895833333,115,0,0.129021582
10/5/2001,0.916666667,115.5,0,0.140852178
10/5/2001,0.9375,116,0,0.153182161
10/5/2001,0.958333333,116.5,0,0.164068998
10/5/2001,0.979166667,117,0,0.173730126
10/5/2001,0,117.5,0,0.181174658
10/5/2001,0.020833333,118,0,0.186077331
10/5/2001,0.041666667,118.5,0,0.188938196
10/5/2001,0.0625,119,0,0.19038508
10/5/2001,0.083333333,119.5,0,0.191112672
10/6/2001,0.104166667,120,0,0.186543595
10/6/2001,0.125,120.5,0,0.185116749
10/6/2001,0.145833333,121,0,0.182996918
10/6/2001,0.166666667,121.5,0,0.180208188
10/6/2001,0.1875,122,0,0.178144566
10/6/2001,0.208333333,122.5,0,0.174757576
10/6/2001,0.229166667,123,0,0.172094408
10/6/2001,0.25,123.5,0,0.169471824
10/6/2001,0.270833333,124,0,0.166889206
10/6/2001,0.291666667,124.5,0,0.164345946
10/6/2001,0.3125,125,0.1,0.161221303
10/6/2001,0.333333333,125.5,0,0.159375106
10/6/2001,0.354166667,126,0,0.156946355
10/6/2001,0.375,126.5,0,0.154554615
10/6/2001,0.395833333,127,0,0.152784761
10/6/2001,0.416666667,127.5,0,0.150456441
10/6/2001,0.4375,128,0,0.148733516
10/6/2001,0.458333333,128.5,0,0.147595874
10/6/2001,0.479166667,129,0,0.146466934
10/6/2001,0.5,129.5,0,0.144789693
10/6/2001,0.520833333,130,0,0.14313166
10/6/2001,0.541666667,130.5,0,0.141492613
10/6/2001,0.5625,131,0,0.140950446
10/6/2001,0.583333333,131.5,0.2,0.139872336
10/6/2001,0.604166667,132,5.6,0.138270612
10/6/2001,0.625,132.5,0.2,0.136687231
10/6/2001,0.645833333,133,0,0.136163477
10/6/2001,0.666666667,133.5,0,0.134088452
10/6/2001,0.6875,134,0,0.132552962
10/6/2001,0.708333333,134.5,0,0.130532959
10/6/2001,0.729166667,135,0,0.129038184
10/6/2001,0.75,135.5,0,0.127560526
10/6/2001,0.770833333,136,0,0.126099789
10/6/2001,0.791666667,136.5,0,0.126099789
10/6/2001,0.8125,137,0,0.130009627
10/6/2001,0.833333333,137.5,0,0.132008473
10/6/2001,0.854166667,138,0,0.134550302
10/6/2001,0.875,138.5,0,0.136098832
10/6/2001,0.895833333,139,0,0.138191298
10/6/2001,0.916666667,139.5,0,0.138719422
10/6/2001,0.9375,140,0,0.136163477
10/6/2001,0.958333333,140.5,0,0.13564173
10/6/2001,0.979166667,141,0,0.134604225
10/6/2001,0,141.5,0,0.133574656
10/6/2001,0.020833333,142,0,0.133062828
10/6/2001,0.041666667,142.5,0,0.13204505
10/6/2001,0.0625,143,0,0.131035055
10/6/2001,0.083333333,143.5,0,0.130532959
10/7/2001,0.104166667,144,0,0.129534531
10/7/2001,0.125,144.5,0,0.129038184
10/7/2001,0.145833333,145,0,0.128051189
10/7/2001,0.166666667,145.5,0,0.127560526
10/7/2001,0.1875,146,0,0.126584834
10/7/2001,0.208333333,146.5,0,0.126099789
10/7/2001,0.229166667,147,0,0.125616604
10/7/2001,0.25,147.5,0,0.125616604
