date;Time;rainfall;Rainfall Intensity;ft;fc;Fl;fcl;fp_fs;dt;ts;Ft_var;Infiltration;Runoff;Rsuperficial;transpiration;Rsolo;Rec;Rsubterranea;Esup;Esub;Ebase;Etotal;qsup;qsub;qbase;qtotal;q_obs;qatrasado
10/1/2001;0.0;0.004;0.009;0.0;50.0;0.004;335790.126;0.0;;;0.004;0.004;0.0;0.0;0.0;0.004;0.0;2.0;0.0;0.0;0.0;0.0;0.0;0.0;0.001;0.001;0.098;0.001
10/1/2001;0.5;0.004;0.009;0.004;335790.126;0.009;167953.963;;;;0.009;0.004;0.0;0.0;0.0;0.008;0.0;2.0;0.0;0.0;0.0;0.0;0.0;0.0;0.001;0.001;0.099;0.001
10/1/2001;1.0;3.292;6.584;0.009;167953.963;3.301;551.032;;;;3.301;3.292;0.0;0.0;0.0;3.3;0.075;2.075;0.0;0.053;0.0;0.053;0.0;0.189;0.001;0.19;0.097;0.001
10/1/2001;1.5;15.5;31.0;3.301;551.032;18.801;193.859;;;;18.801;15.5;0.0;0.0;0.0;18.725;0.426;2.5;0.0;0.299;0.0;0.299;0.0;1.073;0.001;1.074;0.099;0.001
10/1/2001;2.0;15.3;30.6;18.801;193.859;34.101;159.734;;;;34.101;15.3;0.0;0.0;0.0;33.6;0.764;3.263;0.0;0.536;0.0;0.537;0.0;1.925;0.002;1.927;0.1;0.002
10/1/2001;2.5;6.9;13.8;34.101;159.734;41.001;152.677;;;;41.001;6.9;0.0;0.0;0.0;39.736;0.903;4.166;0.0;0.634;0.001;0.635;0.0;2.277;0.002;2.279;0.097;0.002
10/1/2001;3.0;0.6;1.2;41.001;152.677;41.601;152.174;;;;41.601;0.6;-0.0;0.0;0.0;39.433;0.896;5.062;0.0;0.63;0.001;0.63;0.0;2.259;0.002;2.262;0.097;0.002
10/1/2001;3.5;0.4;0.8;41.601;152.174;42.001;151.846;;;;42.001;0.4;0.0;0.0;0.0;38.937;0.885;5.946;0.0;0.622;0.001;0.622;0.0;2.231;0.003;2.234;0.1;0.003
10/1/2001;4.0;1.4;2.8;42.001;151.846;43.401;150.748;;;;43.401;1.4;0.0;0.0;0.0;39.452;0.897;6.842;0.0;0.63;0.001;0.631;0.0;2.261;0.003;2.264;0.097;0.003
10/1/2001;4.5;0.8;1.6;43.401;150.748;44.201;150.152;;;;44.201;0.8;0.0;0.0;0.0;39.355;0.895;7.736;0.0;0.628;0.001;0.629;0.0;2.255;0.004;2.259;0.097;0.004
10/1/2001;5.0;0.6;1.2;44.201;150.152;44.801;149.718;;;;44.801;0.6;-0.0;0.0;0.0;39.06;0.888;8.623;0.0;0.624;0.001;0.625;0.0;2.238;0.004;2.242;0.103;0.004
10/1/2001;5.5;0.278;0.556;44.801;149.718;45.079;149.521;;;;45.079;0.278;0.0;0.0;0.0;38.451;0.874;9.495;0.0;0.614;0.001;0.615;0.0;2.203;0.005;2.208;0.131;0.005
10/1/2001;6.0;0.282;0.565;45.079;149.521;45.361;149.324;;;;45.361;0.282;-0.0;0.0;0.0;37.859;0.861;10.355;0.0;0.604;0.001;0.606;0.0;2.169;0.005;2.174;0.217;0.001
10/1/2001;6.5;0.0;0.0;45.361;149.324;45.361;149.324;;;;45.361;0.0;0.0;0.0;0.0;36.999;0.841;11.194;0.0;0.591;0.002;0.592;0.0;2.12;0.005;2.125;0.381;0.001
10/1/2001;7.0;0.0;0.0;45.361;149.324;45.361;149.324;;;;45.361;0.0;0.0;0.0;0.0;36.158;0.822;12.015;0.0;0.577;0.002;0.579;0.0;2.072;0.006;2.078;0.537;0.19
10/1/2001;7.5;0.0;0.0;45.361;149.324;45.361;149.324;;;;45.361;0.0;0.0;0.0;0.0;35.336;0.803;12.816;0.0;0.564;0.002;0.566;0.0;2.025;0.006;2.031;0.671;1.074
10/1/2001;8.0;0.0;0.0;45.361;149.324;45.361;149.324;;;;45.361;0.0;0.0;0.0;0.0;34.533;0.785;13.599;0.0;0.551;0.002;0.553;0.0;1.979;0.007;1.985;0.825;1.927
10/1/2001;8.5;0.0;0.0;45.361;149.324;45.361;149.324;;;;45.361;0.0;0.0;0.0;0.0;33.748;0.767;14.365;0.0;0.539;0.002;0.541;0.0;1.934;0.007;1.941;1.04;2.279
10/1/2001;9.0;0.0;0.0;45.361;149.324;45.361;149.324;;;;45.361;0.0;0.0;0.0;0.0;32.981;0.75;15.112;0.0;0.527;0.002;0.529;0.0;1.89;0.007;1.897;1.342;2.262
10/1/2001;9.5;0.0;0.0;45.361;149.324;45.361;149.324;;;;45.361;0.0;0.0;0.0;0.0;32.231;0.733;15.843;0.0;0.515;0.002;0.517;0.0;1.847;0.008;1.854;1.664;2.234
10/1/2001;10.0;0.0;0.0;45.361;149.324;45.361;149.324;;;;45.361;0.0;0.0;0.0;0.0;31.498;0.716;16.557;0.0;0.503;0.002;0.505;0.0;1.805;0.008;1.813;1.886;2.264
10/1/2001;10.5;0.0;0.0;45.361;149.324;45.361;149.324;;;;45.361;0.0;0.0;0.0;0.0;30.782;0.7;17.254;0.0;0.491;0.002;0.494;0.0;1.764;0.008;1.772;1.991;2.259
10/1/2001;11.0;0.0;0.0;45.361;149.324;45.361;149.324;;;;45.361;0.0;0.0;0.0;0.0;30.083;0.684;17.936;0.0;0.48;0.002;0.483;0.0;1.724;0.009;1.732;1.998;2.242
10/1/2001;11.5;0.0;0.0;45.361;149.324;45.361;149.324;;;;45.361;0.0;0.0;0.0;0.0;29.399;0.668;18.601;0.0;0.469;0.002;0.472;0.0;1.685;0.009;1.693;1.945;2.208
10/1/2001;12.0;0.0;0.0;45.361;149.324;45.361;149.324;;;;45.361;0.0;0.0;0.0;0.0;28.731;0.653;19.252;0.0;0.459;0.003;0.461;0.0;1.646;0.009;1.655;1.848;2.174
10/1/2001;12.5;0.0;0.0;45.361;149.324;45.361;149.324;;;;45.361;0.0;0.0;0.0;0.0;28.078;0.638;19.888;0.0;0.448;0.003;0.451;0.0;1.609;0.01;1.618;1.741;2.125
10/1/2001;13.0;0.0;0.0;45.361;149.324;45.361;149.324;;;;45.361;0.0;0.0;0.0;0.0;27.44;0.624;20.509;0.0;0.438;0.003;0.441;0.0;1.572;0.01;1.582;1.621;2.078
10/1/2001;13.5;0.0;0.0;45.361;149.324;45.361;149.324;;;;45.361;0.0;0.0;0.0;0.0;26.816;0.61;21.115;0.0;0.428;0.003;0.431;0.0;1.537;0.01;1.547;1.508;2.031
10/1/2001;14.0;0.0;0.0;45.361;149.324;45.361;149.324;;;;45.361;0.0;0.0;0.0;0.0;26.206;0.596;21.708;0.0;0.418;0.003;0.421;0.0;1.502;0.01;1.512;1.39;1.985
10/1/2001;14.5;0.0;0.0;45.361;149.324;45.361;149.324;;;;45.361;0.0;0.0;0.0;0.0;25.611;0.582;22.287;0.0;0.409;0.003;0.412;0.0;1.467;0.011;1.478;1.284;1.941
10/1/2001;15.0;0.0;0.0;45.361;149.324;45.361;149.324;;;;45.361;0.0;0.0;0.0;0.0;25.029;0.569;22.853;0.0;0.4;0.003;0.403;0.0;1.434;0.011;1.445;1.18;1.897
10/1/2001;15.5;0.0;0.0;45.361;149.324;45.361;149.324;;;;45.361;0.0;0.0;0.0;0.0;24.46;0.556;23.406;0.0;0.391;0.003;0.394;0.0;1.402;0.011;1.413;1.095;1.854
10/1/2001;16.0;0.0;0.0;45.361;149.324;45.361;149.324;;;;45.361;0.0;0.0;0.0;0.0;23.904;0.543;23.946;0.0;0.382;0.003;0.385;0.0;1.37;0.012;1.381;1.012;1.813
10/1/2001;16.5;0.0;0.0;45.361;149.324;45.361;149.324;;;;45.361;0.0;0.0;0.0;0.0;23.36;0.531;24.474;0.0;0.373;0.003;0.376;0.0;1.339;0.012;1.35;0.937;1.772
10/1/2001;17.0;0.0;0.0;45.361;149.324;45.361;149.324;;;;45.361;0.0;0.0;0.0;0.0;22.829;0.519;24.99;0.0;0.364;0.003;0.368;0.0;1.308;0.012;1.32;0.863;1.732
10/1/2001;17.5;0.0;0.0;45.361;149.324;45.361;149.324;;;;45.361;0.0;0.0;0.0;0.0;22.31;0.507;25.494;0.0;0.356;0.003;0.36;0.0;1.278;0.012;1.291;0.793;1.693
10/1/2001;18.0;0.0;0.0;45.361;149.324;45.361;149.324;;;;45.361;0.0;0.0;0.0;0.145;21.658;0.492;25.982;0.0;0.346;0.003;0.349;0.0;1.241;0.013;1.253;0.731;1.655
10/1/2001;18.5;0.0;0.0;45.361;149.324;45.361;149.324;;;;45.361;0.0;0.0;0.0;0.166;21.0;0.477;26.456;0.0;0.335;0.004;0.339;0.0;1.203;0.013;1.216;0.67;1.618
10/1/2001;19.0;0.0;0.0;45.361;149.324;45.361;149.324;;;;45.361;0.0;0.0;0.0;0.166;20.356;0.463;26.915;0.0;0.325;0.004;0.329;0.0;1.166;0.013;1.179;0.613;1.582
10/1/2001;19.5;0.0;0.0;45.361;149.324;45.361;149.324;;;;45.361;0.0;0.0;0.0;0.166;19.728;0.448;27.36;0.0;0.315;0.004;0.319;0.0;1.13;0.013;1.144;0.57;1.547
10/1/2001;20.0;0.0;0.0;45.361;149.324;45.361;149.324;;;;45.361;0.0;0.0;0.0;0.166;19.113;0.434;27.791;0.0;0.305;0.004;0.309;0.0;1.095;0.013;1.109;0.532;1.512
10/1/2001;20.5;0.0;0.0;45.361;149.324;45.361;149.324;;;;45.361;0.0;0.0;0.0;0.166;18.513;0.421;28.208;0.0;0.296;0.004;0.299;0.0;1.061;0.014;1.074;0.498;1.478
10/1/2001;21.0;0.064;0.128;45.361;149.324;45.425;149.279;;;;45.425;0.064;-0.0;-0.0;0.0;18.156;0.413;28.617;-0.0;0.29;0.004;0.294;-0.0;1.04;0.014;1.054;0.467;1.445
10/1/2001;21.5;0.0;0.0;45.425;149.279;45.425;149.279;;;;45.425;0.0;0.0;-0.0;0.0;17.743;0.403;29.016;-0.0;0.283;0.004;0.287;-0.0;1.017;0.014;1.031;0.437;1.413
10/1/2001;22.0;0.0;0.0;45.425;149.279;45.425;149.279;;;;45.425;0.0;0.0;-0.0;0.0;17.34;0.394;29.407;-0.0;0.277;0.004;0.281;-0.0;0.994;0.014;1.008;0.41;1.381
10/1/2001;22.5;0.0;0.0;45.425;149.279;45.425;149.279;;;;45.425;0.0;0.0;-0.0;0.0;16.946;0.385;29.788;-0.0;0.271;0.004;0.275;-0.0;0.971;0.014;0.985;0.385;1.35
10/1/2001;23.0;0.0;0.0;45.425;149.279;45.425;149.279;;;;45.425;0.0;0.0;-0.0;0.0;16.561;0.376;30.16;-0.0;0.264;0.004;0.268;-0.0;0.949;0.015;0.963;0.362;1.32
10/1/2001;23.5;0.0;0.0;45.425;149.279;45.425;149.279;;;;45.425;0.0;0.0;-0.0;0.0;16.184;0.368;30.524;-0.0;0.258;0.004;0.262;-0.0;0.927;0.015;0.942;0.342;1.291
10/2/2001;24.0;0.0;0.0;45.425;149.279;45.425;149.279;;;;45.425;0.0;0.0;-0.0;0.0;15.816;0.36;30.88;-0.0;0.253;0.004;0.257;-0.0;0.906;0.015;0.921;0.322;1.253
10/2/2001;24.5;0.0;0.0;45.425;149.279;45.425;149.279;;;;45.425;0.0;0.0;-0.0;0.0;15.457;0.351;31.227;-0.0;0.247;0.004;0.251;-0.0;0.886;0.015;0.901;0.305;1.216
10/2/2001;25.0;0.0;0.0;45.425;149.279;45.425;149.279;;;;45.425;0.0;0.0;-0.0;0.0;15.106;0.343;31.566;-0.0;0.241;0.004;0.245;-0.0;0.866;0.015;0.881;0.29;1.179
10/2/2001;25.5;0.0;0.0;45.425;149.279;45.425;149.279;;;;45.425;0.0;0.0;-0.0;0.058;14.704;0.334;31.896;-0.0;0.235;0.004;0.239;-0.0;0.843;0.015;0.858;0.278;1.144
10/2/2001;26.0;0.0;0.0;45.425;149.279;45.425;149.279;;;;45.425;0.0;0.0;-0.0;0.166;14.204;0.323;32.214;-0.0;0.227;0.004;0.231;-0.0;0.814;0.016;0.829;0.267;1.109
10/2/2001;26.5;0.009;0.017;45.425;149.279;45.434;149.274;;;;45.434;0.009;-0.0;-0.0;0.0;13.89;0.316;32.526;-0.0;0.222;0.004;0.226;-0.0;0.796;0.016;0.812;0.257;1.074
10/2/2001;27.0;0.0;0.0;45.434;149.274;45.434;149.274;;;;45.434;0.0;0.0;-0.0;0.0;13.574;0.309;32.83;-0.0;0.217;0.004;0.221;-0.0;0.778;0.016;0.794;0.248;1.054
10/2/2001;27.5;0.0;0.0;45.434;149.274;45.434;149.274;;;;45.434;0.0;0.0;-0.0;0.141;13.125;0.298;33.124;-0.0;0.21;0.004;0.214;-0.0;0.752;0.016;0.768;0.239;1.031
10/2/2001;28.0;0.0;0.0;45.434;149.274;45.434;149.274;;;;45.434;0.0;0.0;-0.0;0.166;12.661;0.288;33.407;-0.0;0.202;0.004;0.207;-0.0;0.725;0.016;0.742;0.233;1.008
10/2/2001;28.5;0.0;0.0;45.434;149.274;45.434;149.274;;;;45.434;0.0;0.0;-0.0;0.166;12.207;0.277;33.68;-0.0;0.195;0.005;0.199;-0.0;0.699;0.016;0.716;0.228;0.985
10/2/2001;29.0;0.0;0.0;45.434;149.274;45.434;149.274;;;;45.434;0.0;0.0;-0.0;0.166;11.763;0.267;33.943;-0.0;0.188;0.005;0.192;-0.0;0.674;0.016;0.69;0.222;0.963
10/2/2001;29.5;0.0;0.0;45.434;149.274;45.434;149.274;;;;45.434;0.0;0.0;-0.0;0.166;11.33;0.258;34.196;-0.0;0.181;0.005;0.185;-0.0;0.649;0.016;0.666;0.216;0.942
10/2/2001;30.0;0.0;0.0;45.434;149.274;45.434;149.274;;;;45.434;0.0;0.0;-0.0;0.166;10.907;0.248;34.439;-0.0;0.174;0.005;0.179;-0.0;0.625;0.017;0.642;0.212;0.921
10/2/2001;30.5;0.0;0.0;45.434;149.274;45.434;149.274;;;;45.434;0.0;0.0;-0.0;0.166;10.493;0.238;34.673;-0.0;0.168;0.005;0.172;-0.0;0.601;0.017;0.618;0.206;0.901
10/2/2001;31.0;0.0;0.0;45.434;149.274;45.434;149.274;;;;45.434;0.0;0.0;-0.0;0.166;10.088;0.229;34.898;-0.0;0.161;0.005;0.166;-0.0;0.578;0.017;0.595;0.201;0.881
10/2/2001;31.5;0.0;0.0;45.434;149.274;45.434;149.274;;;;45.434;0.0;0.0;-0.0;0.166;9.693;0.22;35.114;-0.0;0.155;0.005;0.159;-0.0;0.555;0.017;0.572;0.198;0.858
10/2/2001;32.0;0.0;0.0;45.434;149.274;45.434;149.274;;;;45.434;0.0;0.0;-0.0;0.166;9.307;0.212;35.32;-0.0;0.149;0.005;0.153;-0.0;0.533;0.017;0.55;0.194;0.829
10/2/2001;32.5;0.0;0.0;45.434;149.274;45.434;149.274;;;;45.434;0.0;0.0;-0.0;0.166;8.929;0.203;35.519;-0.0;0.143;0.005;0.147;-0.0;0.512;0.017;0.529;0.19;0.812
10/2/2001;33.0;0.0;0.0;45.434;149.274;45.434;149.274;;;;45.434;0.0;0.0;-0.0;0.166;8.56;0.195;35.708;-0.0;0.137;0.005;0.141;-0.0;0.49;0.017;0.508;0.187;0.794
10/2/2001;33.5;0.0;0.0;45.434;149.274;45.434;149.274;;;;45.434;0.0;0.0;-0.0;0.166;8.2;0.186;35.89;-0.0;0.131;0.005;0.136;-0.0;0.47;0.017;0.487;0.184;0.768
10/2/2001;34.0;0.0;0.0;45.434;149.274;45.434;149.274;;;;45.434;0.0;0.0;-0.0;0.166;7.847;0.178;36.064;-0.0;0.125;0.005;0.13;-0.0;0.45;0.017;0.467;0.182;0.742
10/2/2001;34.5;0.0;0.0;45.434;149.274;45.434;149.274;;;;45.434;0.0;0.0;-0.0;0.166;7.503;0.171;36.229;-0.0;0.12;0.005;0.125;-0.0;0.43;0.017;0.447;0.179;0.716
10/2/2001;35.0;0.0;0.0;45.434;149.274;45.434;149.274;;;;45.434;0.0;0.0;-0.0;0.166;7.166;0.163;36.387;-0.0;0.114;0.005;0.119;-0.0;0.411;0.018;0.428;0.175;0.69
10/2/2001;35.5;0.0;0.0;45.434;149.274;45.434;149.274;;;;45.434;0.0;0.0;-0.0;0.166;6.837;0.155;36.538;-0.0;0.109;0.005;0.114;-0.0;0.392;0.018;0.409;0.174;0.666
10/2/2001;36.0;0.0;0.0;45.434;149.274;45.434;149.274;;;;45.434;0.0;0.0;-0.0;0.166;6.516;0.148;36.681;-0.0;0.104;0.005;0.109;-0.0;0.373;0.018;0.391;0.171;0.642
10/2/2001;36.5;0.0;0.0;45.434;149.274;45.434;149.274;;;;45.434;0.0;0.0;-0.0;0.166;6.202;0.141;36.817;-0.0;0.099;0.005;0.104;-0.0;0.355;0.018;0.373;0.169;0.618
10/2/2001;37.0;0.0;0.0;45.434;149.274;45.434;149.274;;;;45.434;0.0;0.0;-0.0;0.166;5.895;0.134;36.946;-0.0;0.094;0.005;0.099;-0.0;0.338;0.018;0.356;0.167;0.595
10/2/2001;37.5;0.0;0.0;45.434;149.274;45.434;149.274;;;;45.434;0.0;0.0;-0.0;0.166;5.595;0.127;37.068;-0.0;0.089;0.005;0.094;-0.0;0.321;0.018;0.338;0.164;0.572
10/2/2001;38.0;0.0;0.0;45.434;149.274;45.434;149.274;;;;45.434;0.0;0.0;-0.0;0.166;5.302;0.121;37.184;-0.0;0.085;0.005;0.09;-0.0;0.304;0.018;0.322;0.161;0.55
10/2/2001;38.5;0.0;0.0;45.434;149.274;45.434;149.274;;;;45.434;0.0;0.0;-0.0;0.166;5.015;0.114;37.293;-0.0;0.08;0.005;0.085;-0.0;0.287;0.018;0.305;0.159;0.529
10/2/2001;39.0;0.0;0.0;45.434;149.274;45.434;149.274;;;;45.434;0.0;0.0;-0.0;0.166;4.735;0.108;37.396;-0.0;0.076;0.005;0.081;-0.0;0.271;0.018;0.289;0.157;0.508
10/2/2001;39.5;0.0;0.0;45.434;149.274;45.434;149.274;;;;45.434;0.0;0.0;-0.0;0.166;4.462;0.101;37.492;-0.0;0.071;0.005;0.076;-0.0;0.256;0.018;0.274;0.154;0.487
10/2/2001;40.0;0.0;0.0;45.434;149.274;45.434;149.274;;;;45.434;0.0;0.0;-0.0;0.166;4.194;0.095;37.582;-0.0;0.067;0.005;0.072;-0.0;0.24;0.018;0.258;0.152;0.467
10/2/2001;40.5;0.0;0.0;45.434;149.274;45.434;149.274;;;;45.434;0.0;0.0;-0.0;0.166;3.933;0.089;37.667;-0.0;0.063;0.005;0.068;-0.0;0.225;0.018;0.243;0.148;0.447
10/2/2001;41.0;0.0;0.0;45.434;149.274;45.434;149.274;;;;45.434;0.0;0.0;-0.0;0.166;3.677;0.084;37.745;-0.0;0.059;0.005;0.064;-0.0;0.211;0.018;0.229;0.146;0.428
10/2/2001;41.5;0.0;0.0;45.434;149.274;45.434;149.274;;;;45.434;0.0;0.0;-0.0;0.166;3.428;0.078;37.818;-0.0;0.055;0.005;0.06;-0.0;0.196;0.018;0.215;0.143;0.409
10/2/2001;42.0;0.0;0.0;45.434;149.274;45.434;149.274;;;;45.434;0.0;0.0;-0.0;0.166;3.184;0.072;37.885;-0.0;0.051;0.005;0.056;-0.0;0.182;0.018;0.201;0.141;0.391
